GeoName,2022
United States,332502197
Alabama,5055254
Alaska *,733455
Arizona,7346243
Arkansas,3037957
California,39114265
Colorado,5834324
Connecticut,3612404
Delaware,1011855
District of Columbia,658605
Florida,21941955
Georgia,10856530
Hawaii *,1436786
Idaho,1936682
Illinois,12613470
Indiana,6825533
Iowa,3199014
Kansas,2936665
Kentucky,4517735
Louisiana,4617013
Maine,1380043
Maryland,6166556
Massachusetts,6968277
Michigan,10050745
Minnesota,5712538
Mississippi,2949227
Missouri,6183374
Montana,1116926
Nebraska,1966854
Nevada,3165951
New Hampshire,1397348
New Jersey,9268246
New Mexico,2117263
New York,19663182
North Carolina,10621574
North Dakota,773311
Ohio,11786038
Oklahoma,4006628
Oregon,4253304
Pennsylvania,12962313
Rhode Island,1096324
South Carolina,5234690
South Dakota,901462
Tennessee,7017815
Texas,29751932
Utah,3376015
Vermont,648159
Virginia,8657148
Washington,7758074
West Virginia,1781030
Wisconsin,5903770
Wyoming,580335
