State,Population
TX,
AZ,
PA,
MI,
PA,
NY,
NC,
NJ,
LA,
CA,
CA,
NY,
OR,
NJ,
RI,
TX,
TX,
PA,
OR,
KY,
AK,
TX,
FL,
NY,
AK,
TX,
AK,
TX,
CA,
AR,
PA,
OK,
FL,
CA,
NC,
IL,
CA,
KY,
FL,
NJ,
TX,
IA,
KY,
MI,
AZ,
CA,
NY,
CA,
CA,
NC,
CA,
CA,
NY,
CO,
WA,
NC,
TX,
CA,
NY,
FL,
MS,
NH,
SC,
FL,
CA,
CT,
AR,
AR,
OR,
LA,
CO,
CO,
NV,
GA,
TX,
HI,
FL,
TX,
PA,
MA,
TX,
IL,
CO,
CA,
IN,
AL,
MS,
IL,
ID,
KS,
WI,
OH,
GA,
WI,
MN,
TX,
CA,
WA,
LA,
PA,
UT,
VA,
NE,
CO,
MO,
IL,
CA,
KY,
WA,
NC,
NY,
NC,
TX,
WA,
CA,
FL,
CT,
NY,
KY,
AZ,
OH,
NV,
CA,
CA,
WA,
CO,
WI,
MN,
CT,
NY,
WA,
CA,
FL,
DC,
CA,
CA,
WA,
SC,
TN,
OR,
TX,
CA,
CA,
MI,
PA,
FL,
TX,
WA,
FL,
MS,
WI,
FL,
NV,
TX,
CA,
PA,
FL,
MI,
TN,
TX,
MD,
CA,
PA,
CA,
FL,
IL,
VA,
TX,
OH,
TX,
NJ,
NJ,
WI,
MO,
GA,
CO,
CA,
IN,
CA,
MI,
NY,
