"","states","totalMean","beforeMean","afterMean","anx_Dif"
"1","Alabama",30.5826086956522,31.440625,28.6214285714286,-2.81919642857143
"2","Alaska",30.1608695652174,31.0125,28.2142857142857,-2.79821428571428
"3","Arizona",31.1152173913043,32.503125,27.9428571428571,-4.56026785714285
"4","Arkansas",32.5826086956522,33.475,30.5428571428571,-2.93214285714286
"5","California",32.0282608695652,34.0375,27.4357142857143,-6.60178571428571
"6","Colorado",30.5934782608696,32.44375,26.3642857142857,-6.07946428571429
"7","Connecticut",29.1760869565217,31.146875,24.6714285714286,-6.47544642857143
"8","Delaware",27.4586956521739,28.446875,25.2,-3.246875
"9","District of Columbia",30.9217391304348,32.503125,27.3071428571429,-5.19598214285714
"10","Florida",31.1804347826087,32.99375,27.0357142857143,-5.95803571428571
"11","Georgia",30.7065217391304,32.34375,26.9642857142857,-5.37946428571428
"12","Hawaii",27.0695652173913,28.325,24.2,-4.125
"13","Idaho",28.25,29.23125,26.0071428571429,-3.22410714285714
"14","Illinois",29.9217391304348,31.65,25.9714285714286,-5.67857142857143
"15","Indiana",29.9086956521739,31.71875,25.7714285714286,-5.94732142857143
"16","Iowa",26.9478260869565,28.021875,24.4928571428571,-3.52901785714286
"17","Kansas",28.5739130434783,29.51875,26.4142857142857,-3.10446428571429
"18","Kentucky",32.3891304347826,33.06875,30.8357142857143,-2.23303571428572
"19","Louisiana",35.2760869565217,36.209375,33.1428571428571,-3.06651785714286
"20","Maine",29.195652173913,30.4875,26.2428571428571,-4.24464285714286
"21","Maryland",28.7239130434783,30.028125,25.7428571428571,-4.28526785714286
"22","Massachusetts",29.2347826086957,30.5125,26.3142857142857,-4.19821428571429
"23","Michigan",28.9673913043478,30.590625,25.2571428571429,-5.33348214285714
"24","Minnesota",25.7782608695652,27.059375,22.85,-4.209375
"25","Mississippi",32.8326086956522,34.021875,30.1142857142857,-3.90758928571429
"26","Missouri",30.4478260869565,31.525,27.9857142857143,-3.53928571428571
"27","Montana",27.5608695652174,28.3625,25.7285714285714,-2.63392857142857
"28","Nebraska",26.3021739130435,26.878125,24.9857142857143,-1.89241071428571
"29","Nevada",33.5782608695652,35.228125,29.8071428571429,-5.42098214285714
"30","New Hampshire",27.7934782608696,29.075,24.8642857142857,-4.21071428571429
"31","New Jersey",29.7804347826087,31.934375,24.8571428571429,-7.07723214285714
"32","New Mexico",32.9347826086957,34.325,29.7571428571429,-4.56785714285715
"33","New York",30.1021739130435,31.590625,26.7,-4.890625
"34","North Carolina",29.3978260869565,30.6125,26.6214285714286,-3.99107142857143
"35","North Dakota",25.3739130434783,25.665625,24.7071428571429,-0.958482142857143
"36","Ohio",29.45,30.84375,26.2642857142857,-4.57946428571429
"37","Oklahoma",33.5217391304348,34.015625,32.3928571428571,-1.62276785714285
"38","Oregon",33.5847826086957,34.8625,30.6642857142857,-4.19821428571428
"39","Pennsylvania",29.5934782608696,30.790625,26.8571428571429,-3.93348214285714
"40","Rhode Island",29.3760869565217,30.81875,26.0785714285714,-4.74017857142857
"41","South Carolina",28.8326086956522,30.01875,26.1214285714286,-3.89732142857143
"42","South Dakota",24.4282608695652,25.5375,21.8928571428571,-3.64464285714286
"43","Tennessee",30.9978260869565,31.846875,29.0571428571429,-2.78973214285714
"44","Texas",32.1260869565217,33.44375,29.1142857142857,-4.32946428571429
"45","Utah",29.6347826086957,30.25625,28.2142857142857,-2.04196428571429
"46","Vermont",29,30.284375,26.0642857142857,-4.22008928571429
"47","Virginia",28.6326086956522,29.753125,26.0714285714286,-3.68169642857143
"48","Washington",31.2739130434783,32.55,28.3571428571429,-4.19285714285714
"49","West Virginia",33.0826086956522,34.128125,30.6928571428571,-3.43526785714285
"50","Wisconsin",26.0630434782609,27.190625,23.4857142857143,-3.70491071428571
"51","Wyoming",27.7826086956522,28.2875,26.6285714285714,-1.65892857142857
