"","states","totalMean","beforeMean","afterMean","dep_Dif"
"1","Alabama",26.4695652173913,27.128125,24.9642857142857,-2.16383928571429
"2","Alaska",24.4434782608696,24.975,23.2285714285714,-1.74642857142857
"3","Arizona",25.7978260869565,27.021875,23,-4.021875
"4","Arkansas",27.1608695652174,28.146875,24.9071428571429,-3.23973214285714
"5","California",26.2913043478261,27.803125,22.8357142857143,-4.96741071428572
"6","Colorado",23.554347826087,24.971875,20.3142857142857,-4.65758928571429
"7","Connecticut",22.0847826086957,23.484375,18.8857142857143,-4.59866071428571
"8","Delaware",21.9934782608696,23.115625,19.4285714285714,-3.68705357142857
"9","District of Columbia",23.25,24.15625,21.1785714285714,-2.97767857142857
"10","Florida",25.3847826086957,26.95,21.8071428571429,-5.14285714285714
"11","Georgia",25.5152173913043,26.6625,22.8928571428571,-3.76964285714286
"12","Hawaii",22.895652173913,23.503125,21.5071428571429,-1.99598214285714
"13","Idaho",22.4847826086957,23.484375,20.2,-3.284375
"14","Illinois",23.7847826086957,25.421875,20.0428571428571,-5.37901785714286
"15","Indiana",24.0782608695652,25.23125,21.4428571428571,-3.78839285714286
"16","Iowa",21.6913043478261,22.665625,19.4642857142857,-3.20133928571428
"17","Kansas",22.7195652173913,23.746875,20.3714285714286,-3.37544642857143
"18","Kentucky",26.854347826087,27.459375,25.4714285714286,-1.98794642857143
"19","Louisiana",29.4065217391304,30.471875,26.9714285714286,-3.50044642857143
"20","Maine",21.1086956521739,22.04375,18.9714285714286,-3.07232142857143
"21","Maryland",22.3847826086957,23.271875,20.3571428571429,-2.91473214285714
"22","Massachusetts",21.9717391304348,22.859375,19.9428571428571,-2.91651785714286
"23","Michigan",23.3347826086957,24.44375,20.8,-3.64375
"24","Minnesota",19.4782608695652,20.328125,17.5357142857143,-2.79241071428572
"25","Mississippi",28.6130434782609,29.9125,25.6428571428571,-4.26964285714286
"26","Missouri",24.5130434782609,25.0125,23.3714285714286,-1.64107142857143
"27","Montana",21.4369565217391,22.228125,19.6285714285714,-2.59955357142857
"28","Nebraska",21.1,21.73125,19.6571428571429,-2.07410714285714
"29","Nevada",28.2847826086957,29.225,26.1357142857143,-3.08928571428572
"30","New Hampshire",21.1434782608696,22.1375,18.8714285714286,-3.26607142857143
"31","New Jersey",23.0586956521739,24.646875,19.4285714285714,-5.21830357142857
"32","New Mexico",27.0478260869565,28.15,24.5285714285714,-3.62142857142857
"33","New York",23.6760869565217,25.071875,20.4857142857143,-4.58616071428571
"34","North Carolina",23.3565217391304,24.134375,21.5785714285714,-2.55580357142857
"35","North Dakota",20.2869565217391,20.5375,19.7142857142857,-0.823214285714286
"36","Ohio",24.4521739130435,25.840625,21.2785714285714,-4.56205357142857
"37","Oklahoma",27.4630434782609,27.540625,27.2857142857143,-0.254910714285714
"38","Oregon",26.4282608695652,27.490625,24,-3.490625
"39","Pennsylvania",23.6804347826087,24.65625,21.45,-3.20625
"40","Rhode Island",22.4804347826087,23.390625,20.4,-2.990625
"41","South Carolina",23.7978260869565,24.878125,21.3285714285714,-3.54955357142857
"42","South Dakota",19.5913043478261,20.55625,17.3857142857143,-3.17053571428571
"43","Tennessee",25.6347826086957,26.4,23.8857142857143,-2.51428571428571
"44","Texas",26.6608695652174,27.703125,24.2785714285714,-3.42455357142857
"45","Utah",23.8347826086957,24.33125,22.7,-1.63125
"46","Vermont",21.7391304347826,22.565625,19.85,-2.715625
"47","Virginia",22.8673913043478,24.09375,20.0642857142857,-4.02946428571429
"48","Washington",24.6739130434783,25.709375,22.3071428571429,-3.40223214285714
"49","West Virginia",27.3282608695652,28.05625,25.6642857142857,-2.39196428571428
"50","Wisconsin",20.5652173913043,21.39375,18.6714285714286,-2.72232142857143
"51","Wyoming",22.15,22.621875,21.0714285714286,-1.55044642857143
